,reward,workers
926,24,14.0
927,23,14.0
928,42,13.0
929,35,14.0
930,21,14.0
931,27,12.0
932,31,16.0
933,39,16.0
934,39,15.0
935,34,13.0
936,28,13.0
937,25,14.0
938,17,14.0
939,11,12.0
940,20,14.0
941,41,14.0
942,40,13.0
943,42,13.0
944,40,12.0
945,26,13.0
946,26,13.0
947,32,15.0
948,20,14.0
949,31,16.0
950,36,13.0
951,20,13.0
952,34,13.0
953,29,13.0
954,34,13.0
955,42,13.0
956,43,12.0
957,24,14.0
958,15,14.0
959,26,13.0
960,22,14.0
961,20,14.0
962,35,12.0
963,22,14.0
964,32,15.0
965,33,13.0
966,25,13.0
967,26,13.0
968,29,13.0
969,23,14.0
970,42,13.0
971,40,15.0
972,40,13.0
973,32,14.0
974,39,16.0
975,42,13.0
976,41,14.0
977,26,13.0
978,42,13.0
979,25,14.0
980,42,13.0
981,40,13.0
982,32,14.0
983,10,13.0
984,36,19.0
985,42,13.0
986,42,13.0
987,36,19.0
988,34,13.0
989,30,14.0
990,25,14.0
991,33,14.0
992,30,14.0
993,30,14.0
994,34,13.0
995,33,15.0
996,28,14.0
997,19,14.0
998,40,13.0
999,26,13.0
1000,5,18.0
1001,22,13.0
1002,23,14.0
1003,19,16.0
1004,18,14.0
1005,35,16.0
1006,26,14.0
1007,27,14.0
1008,40,15.0
1009,42,13.0
1010,23,16.0
1011,37,13.0
1012,16,13.0
1013,36,13.0
1014,17,14.0
1015,42,13.0
1016,32,14.0
1017,23,16.0
1018,34,13.0
1019,24,14.0
1020,18,14.0
1021,25,14.0
1022,21,14.0
1023,39,16.0
1024,29,14.0
1025,32,14.0
1026,26,14.0
1027,22,17.0
1028,34,13.0
1029,29,14.0
1030,42,13.0
1031,42,13.0
1032,34,13.0
1033,42,13.0
1034,39,14.0
1035,34,13.0
1036,38,17.0
1037,42,13.0
1038,39,16.0
1039,29,14.0
1040,34,13.0
1041,14,17.0
1042,8,16.0
1043,18,16.0
1044,21,15.0
1045,20,16.0
1046,14,14.0
1047,18,14.0
1048,16,15.0
1049,34,13.0
1050,40,15.0
1051,32,13.0
1052,35,13.0
1053,42,13.0
1054,41,14.0
1055,30,14.0
1056,34,13.0
1057,35,16.0
1058,31,15.0
1059,31,20.0
1060,34,13.0
1061,34,13.0
1062,29,14.0
1063,40,13.0
1064,24,14.0
1065,33,13.0
1066,29,13.0
1067,42,13.0
1068,31,14.0
1069,34,13.0
1070,22,13.0
1071,23,14.0
1072,38,13.0
1073,25,14.0
1074,42,13.0
1075,40,13.0
1076,20,14.0
1077,31,16.0
1078,40,15.0
1079,16,13.0
1080,24,15.0
1081,13,14.0
1082,42,13.0
1083,40,13.0
1084,34,13.0
1085,24,15.0
1086,25,14.0
1087,34,13.0
1088,42,13.0
1089,38,13.0
1090,22,16.0
1091,26,14.0
1092,34,13.0
1093,27,14.0
1094,34,13.0
1095,32,14.0
1096,15,16.0
1097,13,14.0
1098,15,13.0
1099,38,16.0
1100,29,15.0
1101,33,14.0
1102,28,13.0
1103,31,13.0
1104,27,14.0
1105,34,13.0
1106,19,12.0
1107,31,16.0
1108,26,13.0
1109,35,12.0
1110,33,14.0
1111,11,12.0
1112,15,14.0
1113,34,13.0
1114,35,14.0
1115,34,13.0
1116,36,16.0
1117,25,14.0
1118,25,14.0
1119,32,15.0
1120,14,17.0
1121,34,13.0
1122,35,20.0
1123,42,13.0
1124,35,12.0
1125,24,15.0
1126,30,14.0
1127,26,13.0
1128,21,14.0
1129,32,15.0
1130,23,16.0
1131,25,14.0
1132,23,14.0
1133,33,14.0
1134,38,16.0
1135,21,14.0
1136,42,13.0
1137,42,13.0
1138,22,14.0
1139,16,15.0
1140,16,15.0
1141,32,15.0
1142,42,13.0
1143,31,16.0
1144,25,14.0
1145,39,12.0
1146,19,14.0
1147,42,13.0
1148,27,14.0
1149,23,16.0
1150,37,14.0
1151,28,14.0
1152,43,12.0
1153,39,16.0
1154,34,13.0
1155,25,14.0
1156,24,14.0
1157,42,13.0
1158,30,14.0
1159,20,14.0
1160,40,15.0
1161,28,14.0
1162,34,13.0
1163,22,14.0
1164,34,13.0
1165,32,15.0
1166,0,15.0
1167,23,14.0
1168,9,16.0
1169,17,14.0
1170,21,14.0
1171,26,15.0
1172,33,14.0
1173,26,14.0
1174,0,14.0
1175,24,15.0
1176,26,15.0
1177,13,14.0
1178,13,14.0
1179,18,14.0
1180,34,13.0
1181,29,14.0
1182,19,14.0
1183,39,16.0
1184,39,16.0
1185,40,15.0
1186,39,16.0
1187,32,15.0
1188,27,14.0
1189,32,16.0
1190,18,14.0
1191,9,14.0
1192,40,15.0
1193,23,14.0
1194,21,14.0
1195,39,16.0
1196,25,14.0
1197,28,14.0
1198,23,14.0
1199,27,14.0
1200,37,14.0
1201,42,13.0
1202,34,14.0
1203,17,14.0
1204,17,14.0
1205,25,14.0
1206,25,14.0
1207,40,15.0
1208,26,14.0
1209,15,12.0
1210,40,14.0
1211,22,16.0
1212,25,14.0
1213,25,14.0
1214,14,14.0
1215,32,14.0
1216,23,16.0
1217,24,14.0
1218,29,14.0
1219,32,15.0
1220,30,14.0
1221,38,15.0
1222,24,14.0
1223,31,15.0
1224,33,14.0
1225,19,14.0
1226,26,14.0
1227,38,17.0
1228,38,14.0
1229,25,14.0
1230,11,14.0
1231,22,14.0
1232,26,13.0
1233,40,15.0
1234,31,16.0
1235,12,15.0
1236,29,18.0
1237,31,16.0
1238,38,16.0
1239,15,16.0
1240,28,14.0
1241,18,14.0
1242,41,14.0
1243,32,15.0
1244,21,14.0
1245,32,14.0
1246,25,14.0
1247,26,13.0
1248,19,12.0
1249,34,15.0
1250,37,14.0
1251,26,14.0
1252,27,14.0
1253,20,14.0
1254,18,14.0
1255,24,14.0
1256,25,20.0
1257,24,15.0
1258,30,14.0
1259,39,16.0
1260,21,18.0
1261,17,14.0
1262,26,18.0
1263,25,14.0
1264,30,14.0
1265,27,16.0
1266,42,13.0
1267,34,13.0
1268,18,14.0
1269,23,14.0
1270,18,14.0
1271,39,16.0
1272,40,15.0
1273,26,14.0
1274,8,15.0
1275,33,16.0
1276,25,14.0
1277,26,14.0
1278,22,17.0
1279,27,14.0
1280,16,15.0
1281,34,15.0
1282,40,15.0
1283,20,14.0
1284,23,14.0
1285,23,14.0
1286,31,14.0
1287,32,15.0
1288,29,18.0
1289,29,14.0
1290,36,16.0
1291,32,14.0
1292,21,18.0
1293,17,14.0
1294,40,15.0
1295,23,14.0
1296,27,14.0
1297,40,15.0
1298,23,14.0
1299,40,15.0
1300,22,14.0
1301,32,15.0
1302,30,14.0
1303,28,14.0
1304,39,16.0
1305,32,15.0
1306,13,14.0
1307,18,14.0
1308,17,18.0
1309,32,15.0
1310,24,16.0
1311,14,17.0
1312,18,14.0
1313,39,16.0
1314,13,16.0
1315,24,15.0
1316,18,14.0
1317,27,16.0
1318,29,18.0
1319,30,13.0
1320,7,16.0
1321,39,16.0
1322,40,15.0
1323,25,14.0
1324,31,14.0
1325,22,16.0
1326,11,16.0
1327,18,14.0
1328,14,17.0
1329,15,14.0
1330,21,14.0
1331,22,14.0
1332,13,14.0
1333,20,19.0
1334,10,14.0
1335,28,16.0
1336,13,20.0
1337,8,16.0
1338,40,15.0
1339,16,14.0
1340,31,16.0
1341,26,14.0
1342,31,16.0
1343,19,16.0
1344,12,14.0
1345,20,15.0
1346,30,15.0
1347,16,15.0
1348,8,27.0
1349,32,14.0
1350,30,17.0
1351,19,14.0
1352,33,14.0
1353,38,14.0
1354,17,14.0
1355,31,16.0
1356,31,16.0
1357,25,14.0
1358,40,15.0
1359,30,17.0
1360,32,15.0
1361,39,16.0
1362,32,15.0
1363,18,14.0
1364,29,14.0
1365,29,14.0
1366,25,14.0
1367,21,14.0
1368,33,14.0
1369,27,16.0
1370,27,14.0
1371,30,17.0
1372,39,16.0
1373,27,14.0
1374,26,13.0
1375,19,14.0
1376,34,19.0
1377,27,14.0
1378,26,13.0
1379,12,14.0
1380,33,14.0
1381,30,17.0
1382,22,14.0
1383,31,15.0
1384,28,14.0
1385,38,17.0
1386,25,14.0
1387,34,15.0
1388,24,15.0
1389,29,14.0
1390,30,17.0
1391,19,14.0
1392,7,16.0
1393,23,14.0
1394,42,13.0
1395,23,14.0
1396,31,16.0
1397,28,14.0
1398,23,16.0
1399,40,15.0
1400,33,14.0
1401,40,15.0
1402,33,14.0
1403,29,15.0
1404,25,14.0
1405,37,14.0
1406,31,16.0
1407,27,20.0
1408,32,15.0
1409,17,16.0
1410,24,15.0
1411,18,14.0
1412,22,14.0
1413,18,14.0
1414,17,18.0
1415,32,15.0
1416,10,15.0
1417,31,16.0
1418,30,14.0
1419,28,19.0
1420,25,14.0
1421,21,14.0
1422,21,14.0
1423,17,16.0
1424,34,13.0
1425,24,14.0
1426,31,14.0
1427,7,16.0
1428,20,14.0
1429,26,15.0
1430,16,17.0
1431,25,14.0
1432,39,16.0
1433,28,15.0
1434,18,14.0
1435,24,16.0
1436,31,15.0
1437,27,14.0
1438,21,17.0
1439,17,15.0
1440,15,14.0
1441,30,16.0
1442,27,16.0
1443,13,14.0
1444,14,15.0
1445,27,13.0
1446,17,14.0
1447,24,12.0
1448,21,14.0
1449,25,14.0
1450,32,15.0
1451,10,13.0
1452,31,14.0
1453,33,14.0
1454,22,16.0
1455,30,17.0
1456,24,15.0
1457,31,16.0
1458,24,15.0
1459,39,15.0
1460,31,14.0
1461,25,14.0
1462,26,14.0
1463,27,14.0
1464,26,14.0
1465,22,14.0
1466,27,14.0
1467,34,14.0
1468,40,15.0
1469,32,15.0
1470,23,14.0
1471,26,14.0
1472,31,16.0
1473,33,14.0
1474,39,16.0
1475,32,14.0
1476,32,14.0
1477,39,16.0
1478,31,16.0
1479,20,14.0
1480,12,15.0
1481,31,15.0
1482,32,15.0
1483,39,16.0
1484,31,14.0
1485,42,13.0
1486,32,15.0
1487,22,14.0
1488,40,15.0
1489,17,14.0
1490,27,14.0
1491,26,15.0
1492,29,18.0
1493,38,15.0
1494,26,14.0
1495,32,14.0
1496,25,14.0
1497,15,16.0
1498,30,15.0
1499,34,18.0
1500,35,12.0
1501,31,15.0
1502,26,14.0
1503,39,16.0
1504,37,18.0
1505,40,15.0
1506,14,17.0
1507,17,14.0
1508,23,16.0
1509,34,15.0
1510,33,14.0
1511,17,14.0
1512,38,17.0
1513,33,14.0
1514,32,15.0
1515,17,14.0
1516,18,14.0
1517,33,14.0
1518,32,14.0
1519,9,14.0
1520,38,17.0
1521,25,14.0
1522,21,14.0
1523,27,12.0
1524,24,13.0
1525,9,14.0
1526,21,14.0
1527,32,15.0
1528,32,15.0
1529,40,15.0
1530,38,17.0
1531,34,13.0
1532,19,14.0
1533,28,14.0
1534,25,22.0
1535,36,14.0
1536,22,14.0
1537,33,16.0
1538,10,13.0
1539,27,14.0
1540,30,14.0
1541,20,14.0
1542,34,15.0
1543,25,14.0
1544,24,14.0
1545,23,14.0
1546,43,12.0
1547,30,17.0
1548,39,16.0
1549,39,16.0
1550,40,15.0
1551,32,14.0
1552,28,14.0
1553,24,15.0
1554,41,14.0
1555,21,16.0
1556,28,15.0
1557,40,15.0
1558,18,14.0
1559,30,14.0
1560,26,13.0
1561,34,13.0
1562,30,14.0
1563,26,13.0
1564,24,14.0
1565,24,15.0
1566,24,14.0
1567,42,13.0
1568,42,13.0
1569,31,15.0
1570,40,15.0
1571,26,14.0
1572,42,13.0
1573,26,14.0
1574,24,14.0
1575,32,14.0
1576,29,14.0
1577,31,16.0
1578,30,17.0
1579,23,16.0
1580,38,17.0
1581,28,14.0
1582,29,14.0
1583,9,14.0
1584,27,14.0
1585,29,16.0
1586,37,18.0
1587,22,13.0
1588,37,17.0
1589,31,14.0
1590,23,14.0
1591,33,14.0
1592,24,14.0
1593,38,17.0
1594,20,14.0
1595,32,15.0
1596,30,17.0
1597,34,16.0
1598,30,14.0
1599,27,14.0
1600,31,16.0
1601,13,14.0
1602,31,14.0
1603,23,14.0
1604,23,14.0
1605,32,15.0
1606,31,16.0
1607,25,14.0
1608,25,14.0
1609,36,14.0
1610,39,16.0
1611,6,22.0
1612,22,14.0
1613,32,15.0
1614,24,15.0
1615,24,15.0
1616,28,14.0
1617,34,14.0
1618,28,14.0
1619,34,15.0
1620,23,16.0
1621,28,15.0
1622,29,14.0
1623,39,16.0
1624,26,14.0
1625,23,16.0
1626,26,14.0
1627,30,14.0
1628,36,16.0
1629,28,14.0
1630,30,14.0
1631,19,17.0
1632,27,14.0
1633,27,14.0
1634,25,17.0
1635,20,14.0
1636,23,16.0
1637,29,14.0
1638,25,14.0
1639,39,16.0
1640,31,16.0
1641,31,16.0
1642,30,21.0
1643,17,18.0
1644,23,14.0
1645,30,16.0
1646,32,15.0
1647,30,14.0
1648,15,14.0
1649,23,16.0
1650,17,14.0
1651,16,14.0
1652,31,16.0
1653,14,21.0
1654,23,14.0
1655,12,14.0
1656,22,14.0
1657,19,20.0
1658,18,13.0
1659,35,18.0
1660,33,14.0
1661,39,16.0
1662,32,15.0
1663,20,14.0
