state,0,1,2,3,4,5,6,7,8,9
"[1, 2, 0, 23, 21, 1]",0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 0, 23, 21, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 23, 21, 0]",0.0,0.0,0.0,0.0,0.0,0.0059522315913668085,0.0,0.0,0.0,0.0
"[0, 2, 0, 23, 21, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 0, 23, 22, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 23, 22, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 23, 23, 1]",0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 0, 23, 23, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 2, 0, 23, 23, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 2, 0, 23, 23, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 15, 12, 12]",0.0001222683025501051,0.00029517796411742097,0.008163172299320044,0.00012453313722940977,0.00020733059354285515,0.00014954115937124382,9.141052446974516e-05,0.0002535970640039896,0.00021837992870595192,0.0001870656525852663
"[0, 0, 0, 15, 13, 13]",0.0,1.759932634599173e-05,0.005564945961766615,5.1604181153033766e-05,2.6058491032956e-05,5.0209159119826907e-05,9.821241671602902e-05,0.0,4.36475348269566e-05,0.0
"[0, 0, 0, 15, 13, 12]",0.0005894103266035881,0.000268761518854971,0.009386535174485447,0.0004758876848670625,0.0005990004719930157,0.0006347496192913416,0.0003553118048893174,0.00040236081603157233,0.0004321427819886756,0.00031323348862628093
"[0, 0, 0, 15, 13, 11]",0.0006100217771804801,0.0003963171263810955,0.01141779863239197,0.00030456325064865774,0.0002511212669721887,0.001576799325282348,0.00032648620570014725,0.0002469380701098075,0.00035971444240997174,0.00023422655325728653
"[0, 0, 0, 15, 13, 10]",0.0003562990047603455,0.00032366828742712414,0.009414701037265617,0.00034906812516762167,0.00035122773102530265,0.0003552035616528313,0.0003284110971155127,0.00022610311086576873,0.0004873527736513841,0.0008226832920863576
"[0, 0, 0, 15, 13, 9]",0.00019992244974037377,0.00017103985101572176,0.007590422657760877,0.00015662387597345848,0.00030388638415465894,0.002193454688335467,0.00016294851226193063,0.0001472034027608186,0.0002765620006375234,0.00024202017755917279
"[0, 0, 0, 15, 13, 8]",4.301083755995744e-05,9.232451759985435e-05,0.005768256550768933,5.097560082443153e-05,0.0001702240415356999,0.001106181628566587,0.0002471087548269283,0.0003475245729606826,9.687873610246346e-05,4.214650079027851e-05
