,reward,workers,supply_depot,barracks
534,27.0,15.0,5.0,2.0
535,28.0,14.0,4.0,2.0
536,7.0,16.0,2.0,2.0
537,23.0,16.0,3.0,2.0
538,25.0,16.0,4.0,2.0
539,21.0,18.0,3.0,2.0
540,6.0,25.0,3.0,2.0
541,4.0,23.0,4.0,2.0
542,18.0,16.0,4.0,2.0
543,15.0,17.0,3.0,2.0
544,4.0,19.0,1.0,2.0
545,6.0,15.0,2.0,2.0
546,16.0,16.0,4.0,2.0
547,23.0,17.0,4.0,2.0
548,30.0,17.0,4.0,2.0
549,27.0,17.0,4.0,2.0
550,30.0,17.0,4.0,2.0
551,37.0,18.0,5.0,2.0
552,1.0,18.0,5.0,2.0
553,4.0,20.0,3.0,2.0
554,20.0,20.0,5.0,2.0
555,1.0,18.0,5.0,2.0
556,15.0,16.0,5.0,2.0
557,0.0,23.0,1.0,2.0
558,24.0,20.0,5.0,2.0
559,1.0,21.0,4.0,2.0
560,28.0,14.0,4.0,2.0
561,11.0,15.0,5.0,2.0
562,28.0,18.0,4.0,2.0
563,18.0,22.0,5.0,2.0
564,22.0,14.0,5.0,2.0
565,13.0,20.0,5.0,2.0
566,20.0,14.0,4.0,2.0
567,36.0,19.0,5.0,2.0
568,16.0,18.0,4.0,2.0
569,9.0,20.0,4.0,2.0
570,19.0,20.0,4.0,2.0
571,25.0,17.0,4.0,2.0
572,9.0,17.0,3.0,2.0
573,19.0,18.0,5.0,2.0
574,14.0,23.0,4.0,2.0
575,3.0,16.0,3.0,2.0
576,0.0,13.0,1.0,1.0
577,4.0,23.0,2.0,1.0
578,0.0,16.0,3.0,2.0
579,12.0,14.0,4.0,2.0
580,6.0,13.0,3.0,2.0
581,0.0,21.0,5.0,2.0
582,2.0,23.0,4.0,2.0
583,4.0,14.0,3.0,2.0
584,11.0,14.0,3.0,2.0
585,0.0,20.0,5.0,2.0
586,2.0,16.0,1.0,2.0
587,0.0,13.0,1.0,0.0
588,5.0,16.0,3.0,2.0
589,8.0,19.0,3.0,2.0
590,10.0,15.0,5.0,2.0
591,29.0,16.0,4.0,2.0
592,14.0,17.0,5.0,2.0
593,15.0,21.0,5.0,2.0
594,21.0,20.0,5.0,2.0
595,19.0,16.0,5.0,2.0
596,22.0,15.0,5.0,2.0
597,17.0,19.0,5.0,2.0
598,34.0,21.0,5.0,2.0
