state,0,1,2,3,4,5,6,7,8,9,10,11,12
"[0, 1, 19, 0, 0, 1, 0, 0, 0]",0.0,3.581577725156489e-11,0.0,0.0,-0.011940000000000001,0.0,3.6701572126305893e-09,0.0,3.515751902372589e-11,0.0,0.0,3.7939524095284773e-11,0.0
"[0, 0, 19, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,5.567578693514667e-10,-0.011940000000000001,0.0,0.0,3.4706631401987114e-12,0.0,0.0,0.0,0.0,0.0
"[0, 0, 19, 0, 0, 1, 1, 0, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 19, 0, 0, 1, 1, 0, 9]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 20, 0, 0, 1, 1, 0, 9]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 20, 0, 0, 1, 1, 0, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 20, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,1.3022515810693138e-07,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 20, 0, 0, 1, 0, 0, 0]",7.386115934535648e-08,4.0661052563481885e-08,9.722783844345686e-08,3.0503301400412548e-09,-0.06816858190383865,9.005479817313682e-08,4.8153208514819844e-08,7.398773765196506e-08,3.0570584592673456e-08,6.583219301749859e-08,4.737338672407678e-11,6.525836195200152e-08,6.995820870417361e-07
"[0, 0, 20, 0, 0, 1, 0, 1, 0]",0.0,0.0,0.0,5.608254226532384e-09,-0.011940000000000001,0.0,0.0,9.957640342079263e-13,0.0,0.0,0.0,0.0,0.0
"[1, 0, 20, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,7.594483607604611e-11,0.0,3.1938129400688435e-13
"[0, 0, 21, 0, 0, 1, 0, 0, 0]",0.0,0.0,0.0,0.0,-0.011940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
