,mineral_count,vispen_count,scv_count,reward
296,510.0,668.0,12.0,
297,20.0,328.0,13.0,
298,880.0,440.0,15.0,
299,530.0,316.0,16.0,
300,550.0,424.0,15.0,
301,85.0,380.0,15.0,
302,670.0,148.0,14.0,
303,875.0,684.0,14.0,
304,0.0,260.0,15.0,
305,980.0,80.0,13.0,
306,570.0,496.0,15.0,
307,560.0,340.0,14.0,
308,600.0,192.0,16.0,
309,855.0,540.0,16.0,
310,875.0,0.0,14.0,
311,2730.0,0.0,14.0,
312,2370.0,12.0,15.0,
313,950.0,572.0,14.0,
314,1105.0,608.0,15.0,
315,895.0,508.0,13.0,
316,30.0,412.0,12.0,
317,2525.0,224.0,15.0,
318,815.0,360.0,13.0,
319,1850.0,192.0,15.0,
320,2460.0,36.0,14.0,
321,1145.0,240.0,14.0,
322,2015.0,252.0,18.0,
323,760.0,472.0,14.0,
324,900.0,536.0,14.0,
325,900.0,144.0,13.0,
326,1225.0,704.0,14.0,
327,2120.0,0.0,16.0,
328,2075.0,228.0,17.0,
329,1855.0,20.0,13.0,
330,1430.0,280.0,16.0,
331,1285.0,400.0,16.0,
332,1785.0,76.0,16.0,
333,1755.0,656.0,17.0,
334,2645.0,0.0,15.0,
335,1330.0,280.0,15.0,
336,1600.0,428.0,15.0,
337,2435.0,0.0,15.0,
338,1570.0,356.0,15.0,
339,1525.0,308.0,14.0,
340,1135.0,356.0,13.0,
341,2130.0,28.0,17.0,
342,2050.0,256.0,18.0,
343,2495.0,228.0,15.0,
344,710.0,460.0,16.0,
345,1620.0,8.0,14.0,
346,1590.0,568.0,15.0,
347,355.0,272.0,15.0,
348,125.0,336.0,15.0,
349,1585.0,0.0,14.0,
350,1200.0,172.0,15.0,
351,425.0,436.0,15.0,
352,430.0,472.0,14.0,
353,1190.0,444.0,16.0,
354,1990.0,204.0,15.0,
355,910.0,212.0,15.0,
356,815.0,528.0,19.0,
357,1415.0,116.0,16.0,
358,1660.0,196.0,14.0,
359,1125.0,644.0,16.0,
360,1035.0,212.0,13.0,
361,555.0,520.0,17.0,
362,325.0,184.0,15.0,
363,100.0,408.0,15.0,
364,110.0,184.0,15.0,
365,605.0,308.0,17.0,
366,1035.0,348.0,15.0,
367,455.0,400.0,15.0,
368,595.0,440.0,15.0,
369,30.0,196.0,15.0,
370,2110.0,64.0,15.0,
371,2095.0,444.0,15.0,
372,2385.0,16.0,14.0,
373,1800.0,108.0,12.0,
374,880.0,500.0,12.0,
375,2260.0,0.0,14.0,
376,2665.0,0.0,17.0,
377,1960.0,160.0,14.0,
378,620.0,480.0,14.0,
379,1020.0,352.0,15.0,
380,1330.0,304.0,14.0,
381,1255.0,756.0,13.0,
382,1850.0,100.0,13.0,
383,1010.0,432.0,14.0,
384,875.0,640.0,16.0,
385,475.0,336.0,15.0,
386,1320.0,0.0,17.0,
387,2035.0,76.0,15.0,
388,1765.0,284.0,15.0,
389,2495.0,28.0,14.0,
390,1810.0,156.0,16.0,
391,1070.0,232.0,14.0,
392,2400.0,156.0,14.0,
393,1145.0,496.0,13.0,
394,1710.0,440.0,16.0,
395,2405.0,44.0,13.0,
396,2935.0,0.0,16.0,
397,1520.0,292.0,13.0,
398,1860.0,260.0,16.0,
399,2495.0,120.0,13.0,
400,1025.0,696.0,16.0,
401,1485.0,108.0,14.0,
402,965.0,656.0,15.0,
403,985.0,452.0,14.0,
404,2040.0,332.0,15.0,
405,525.0,496.0,15.0,
406,840.0,504.0,15.0,
